id,created_at,settled_at,sport_key,league,event,selection,bookmaker,commence_time,odds,market_home_probability,market_draw_probability,market_away_probability,market_selection_probability,market_overround,bookmaker_count,xg_home,xg_away,xg_total,xg_difference,xg_home_reliability,xg_away_reliability,elo_home_probability,elo_draw_probability,elo_away_probability,elo_selection_probability,elo_difference,elo_home_reliability,elo_away_reliability,form_home_probability,form_draw_probability,form_away_probability,form_selection_probability,form_difference,form_home_reliability,form_away_reliability,dixon_home_probability,dixon_draw_probability,dixon_away_probability,dixon_selection_probability,dixon_rho,dixon_draw_adjustment,over_25_probability,under_25_probability,btts_yes_probability,btts_no_probability,model_consensus_probability,model_dispersion,consensus_safety,competition_importance,is_international,is_knockout,is_qualification,season_stage,context_reliability,market_model_gap,raw_edge,home_advantage_elo,home_advantage_xg,league_weight,bookmaker_weight,sport_weight,confidence_input,reliability_input,result,source_hash
1,2026-07-11T19:31:59+00:00,,soccer_epl,Premier League,Newcastle United vs Liverpool,Newcastle United,Betfair,2026-08-23T15:30:00Z,3.1,0.3281221821907373,0.24564524418580463,0.4262325736234581,0.3281221821907373,0.009316094205737535,20.0,1.4766869375,1.2897955607476634,2.7664824982476635,0.18689137675233658,0.0,0.0,0.40335862001574185,0.2672158303906449,0.32942554959361336,0.40335862001574185,65.0,0.0,0.0,0.36203522504892366,0.2759295499021527,0.36203522504892366,0.36203522504892366,0.0,0.0,0.0,0.4063152695074333,0.2724630250962993,0.3212217053962674,0.4063152695074333,-0.08,0.01916291051298319,0.5225182876855085,0.47748171231449155,0.5687439743880386,0.4312560256119614,0.3589247198006063,0.020212996602977897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030802537609869007,0.1126666313818796,65.0,1.07,1.0,0.9667,1.0,0.9347029630881976,0.0,OPEN,42d2cccca41ca195f04c0c05
21,2026-07-11T19:32:00+00:00,,soccer_epl,Premier League,Fulham vs Chelsea,Fulham,William Hill,2026-08-24T19:00:00Z,3.25,0.30641421515743034,0.2589885683987087,0.4345972164438609,0.30641421515743034,0.0018846851877705184,20.0,1.4766869375,1.2897955607476634,2.7664824982476635,0.18689137675233658,0.0,0.0,0.40335862001574185,0.2672158303906449,0.32942554959361336,0.40335862001574185,65.0,0.0,0.0,0.36203522504892366,0.2759295499021527,0.36203522504892366,0.36203522504892366,0.0,0.0,0.0,0.4063152695074333,0.2724630250962993,0.3212217053962674,0.4063152695074333,-0.08,0.01916291051298319,0.5225182876855085,0.47748171231449155,0.5687439743880386,0.4312560256119614,0.3469853379322875,0.020212996602977897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04057112277485714,0.1277023482799342,65.0,1.07,1.0,1.0039,1.0,0.9384186675971811,0.0,OPEN,9fa579fb56092b59d965f941
41,2026-07-11T19:32:02+00:00,,soccer_spain_la_liga,La Liga,Celta Vigo vs CA Osasuna,CA Osasuna,Betfair,2026-08-16T19:00:00Z,4.1,0.46224996772872756,0.28261154481330475,0.25513848745796763,0.25513848745796763,0.0,15.0,1.4849674250000002,1.2826033921933084,2.7675708171933087,0.2023640328066918,0.0,0.0,0.40536592236190494,0.2666408941279083,0.3279931835101868,0.3279931835101868,68.0,0.0,0.0,0.36203522504892366,0.2759295499021527,0.36203522504892366,0.36203522504892366,0.0,0.0,0.0,0.40996652394640876,0.2721666650393462,0.317866811014245,0.317866811014245,-0.08,0.01914206687282688,0.5227801260433966,0.47721987395660337,0.5685612121324471,0.43143878786755285,0.2887084506083657,0.018892246529522955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03356996315039806,0.18370464749429916,68.0,1.076,1.0,0.9667,1.0,0.9433232604114311,0.0,OPEN,420046dc16fe0eec6c36006b
56,2026-07-11T19:32:03+00:00,,soccer_spain_la_liga,La Liga,Espanyol vs Levante,Levante,Betfair,2026-08-16T19:00:00Z,4.2,0.47230989686625174,0.28091738592658333,0.24677271720716495,0.24677271720716495,0.0016420361247946325,15.0,1.4849674250000002,1.2826033921933084,2.7675708171933087,0.2023640328066918,0.0,0.0,0.40536592236190494,0.2666408941279083,0.3279931835101868,0.3279931835101868,68.0,0.0,0.0,0.36203522504892366,0.2759295499021527,0.36203522504892366,0.36203522504892366,0.0,0.0,0.0,0.40996652394640876,0.2721666650393462,0.317866811014245,0.317866811014245,-0.08,0.01914206687282688,0.5227801260433966,0.47721987395660337,0.5685612121324471,0.43143878786755285,0.2841072769704242,0.018892246529522955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03733455976325925,0.19325056327578172,68.0,1.076,1.0,0.9667,1.0,0.9425022423490338,0.0,OPEN,4e388fab28b6586538f1bba9
71,2026-07-11T19:32:05+00:00,,soccer_spain_la_liga,La Liga,Real Racing Club de Santander vs Villarreal,Real Racing Club de Santander,Betfair,2026-08-16T19:00:00Z,3.4,0.28838067102983245,0.27263379821174494,0.4389855307584227,0.28838067102983245,0.020578937581354984,13.0,1.4849674250000002,1.2826033921933084,2.7675708171933087,0.2023640328066918,0.0,0.0,0.40536592236190494,0.2666408941279083,0.3279931835101868,0.40536592236190494,68.0,0.0,0.0,0.36203522504892366,0.2759295499021527,0.36203522504892366,0.36203522504892366,0.0,0.0,0.0,0.40996652394640876,0.2721666650393462,0.317866811014245,0.40996652394640876,-0.08,0.01914206687282688,0.5227801260433966,0.47721987395660337,0.5685612121324471,0.43143878786755285,0.33815940672761013,0.021592499414196276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04977873569777769,0.1497419828738744,68.0,1.076,1.0,0.9667,1.0,0.9249330329667337,0.0,OPEN,afa7f779954736288ac690db
84,2026-07-11T19:32:06+00:00,,soccer_germany_bundesliga,Bundesliga,1. FC Köln vs TSG Hoffenheim,1. FC Köln,1xBet,2026-08-29T13:30:00Z,3.2,0.3144285246205953,0.25597758813459986,0.42959388724480496,0.3144285246205953,0.003028634361233351,17.0,1.49048775,1.277853009259259,2.7683407592592593,0.21263474074074096,0.0,0.0,0.40670150971100605,0.26626127228284463,0.3270372180061494,0.40670150971100605,70.0,0.0,0.0,0.36203522504892366,0.2759295499021527,0.36203522504892366,0.36203522504892366,0.0,0.0,0.0,0.41239407504199443,0.2719571969195761,0.31564872803842947,0.41239407504199443,-0.08,0.019127334529482065,0.5229653184127979,0.4770346815872021,0.5684319782794429,0.4315680217205571,0.3532122294911651,0.022517884393882595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03878370487056981,0.13027913437172844,70.0,1.08,1.0,0.998,1.0,0.9309320296377356,0.0,OPEN,e4094ef9191254befa810dff
101,2026-07-11T19:32:11+00:00,,soccer_italy_serie_a,Serie A,Torino vs AC Milan,Torino,Pinnacle,2026-08-22T13:00:00Z,4.36,0.21507148975154305,0.2547155939416136,0.5302129163068434,0.21507148975154305,0.06363511500682395,4.0,1.462886125,1.3019634433962264,2.7648495683962264,0.16092268160377365,0.0,0.0,0.4000033586052737,0.26818892303058517,0.33180771836414114,0.4000033586052737,60.0,0.0,0.0,0.36203522504892366,0.2759295499021527,0.36203522504892366,0.36203522504892366,0.0,0.0,0.0,0.4002038408335367,0.27290829366967445,0.32688786549678883,0.4002038408335367,-0.08,0.019194227209341552,0.5221252732538473,0.4778747267461527,0.5690183897811574,0.4309816102188426,0.2949188072170095,0.017945790561175238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07984731746546647,0.28584599946616174,60.0,1.06,1.0,1.0078,1.0,0.9143450708130623,0.0,OPEN,dcc4f8b369daa0ebba2977e4
105,2026-07-11T19:32:16+00:00,,soccer_italy_serie_a,Serie A,AS Roma vs Fiorentina,Draw,1xBet,2026-08-24T18:45:00Z,4.4,0.6067942525733145,0.23414614406463308,0.15905960336205238,0.23414614406463308,0.01755209964165183,11.0,1.462886125,1.3019634433962264,2.7648495683962264,0.16092268160377365,0.0,0.0,0.4000033586052737,0.26818892303058517,0.33180771836414114,0.26818892303058517,60.0,0.0,0.0,0.36203522504892366,0.2759295499021527,0.36203522504892366,0.2759295499021527,0.0,0.0,0.0,0.4002038408335367,0.27290829366967445,0.32688786549678883,0.27290829366967445,-0.08,0.019194227209341552,0.5221252732538473,0.4778747267461527,0.5690183897811574,0.4309816102188426,0.2512239094115477,0.0031853440912372327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01707776534691463,0.10538520141081009,60.0,1.06,1.0,0.998,1.0,0.9816679179054624,0.0,OPEN,300bb321d4cb8dcf3a0901f8
116,2026-07-11T19:32:17+00:00,,soccer_france_ligue_one,Ligue 1,Le Havre vs AS Monaco,Le Havre,Coolbet,2026-08-22T15:00:00Z,3.5,0.2764223680688024,0.261279771272995,0.4622978606582025,0.2764223680688024,0.030763790664780633,3.0,1.4684064500000003,1.2970688439849625,2.765475293984963,0.17133760601503778,0.0,0.0,0.4013468634058377,0.2677974389533476,0.3308556976408148,0.4013468634058377,62.0,0.0,0.0,0.36203522504892366,0.2759295499021527,0.36203522504892366,0.36203522504892366,0.0,0.0,0.0,0.4026522698187894,0.27273758438693013,0.3246101457942806,0.4026522698187894,-0.08,0.01918222085835941,0.5222758942450849,0.4777241057549151,0.568913208169054,0.431086791830946,0.32939405996126014,0.01884690756255975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05297169189245776,0.1528792098644105,62.0,1.064,1.0,0.9753,1.0,0.9280773819799304,0.0,OPEN,dead4ad31b7d122e19937022
119,2026-07-11T19:32:19+00:00,,soccer_france_ligue_one,Ligue 1,Toulouse vs Lyon,Toulouse,Coolbet,2026-08-22T18:45:00Z,3.6,0.27593757899529336,0.2559879150449087,0.46807450595979805,0.27593757899529336,0.013978636062195626,16.0,1.4684064500000003,1.2970688439849625,2.765475293984963,0.17133760601503778,0.0,0.0,0.4013468634058377,0.2677974389533476,0.3308556976408148,0.4013468634058377,62.0,0.0,0.0,0.36203522504892366,0.2759295499021527,0.36203522504892366,0.36203522504892366,0.0,0.0,0.0,0.4026522698187894,0.27273758438693013,0.3246101457942806,0.4026522698187894,-0.08,0.01918222085835941,0.5222758942450849,0.4777241057549151,0.568913208169054,0.431086791830946,0.32912742597083017,0.01884690756255975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0531898469755368,0.18485873349498871,62.0,1.064,1.0,0.9753,1.0,0.9364699592812229,0.0,OPEN,59e4c719d5ce095ee95972f2
135,2026-07-11T19:32:21+00:00,,soccer_france_ligue_one,Ligue 1,Le Havre vs AS Monaco,Le Havre,1xBet,2026-08-23T15:15:00Z,3.58,0.27775536460064887,0.2499917053403952,0.47225293005895597,0.27775536460064887,0.016511045590819284,13.0,1.4684064500000003,1.2970688439849625,2.765475293984963,0.17133760601503778,0.0,0.0,0.4013468634058377,0.2677974389533476,0.3308556976408148,0.4013468634058377,62.0,0.0,0.0,0.36203522504892366,0.2759295499021527,0.36203522504892366,0.36203522504892366,0.0,0.0,0.0,0.4026522698187894,0.27273758438693013,0.3246101457942806,0.4026522698187894,-0.08,0.01918222085835941,0.5222758942450849,0.4777241057549151,0.568913208169054,0.431086791830946,0.3301272080537757,0.01884690756255975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05237184345312684,0.18185540483251716,62.0,1.064,1.0,0.998,1.0,0.9352037545169111,0.0,OPEN,c08ae368da47d801388263c7
148,2026-07-11T19:32:23+00:00,,soccer_netherlands_eredivisie,Eredivisie,Go Ahead Eagles vs Willem II,Willem II,1xBet,2026-08-08T16:45:00Z,4.46,0.5221656559292422,0.23818244761183432,0.2396518964589235,0.2396518964589235,0.029915438470150324,17.0,1.4960080750000002,1.273137684501845,2.7691457595018454,0.22287039049815527,0.0,0.0,0.4080349088527372,0.26588455940314754,0.32608053174411533,0.32608053174411533,72.0,0.0,0.0,0.36203522504892366,0.2759295499021527,0.36203522504892366,0.36203522504892366,0.0,0.0,0.0,0.4148162676994535,0.2717383633989492,0.3134453689015973,0.3134453689015973,-0.08,0.01911194349735379,0.5231589008776668,0.4768410991223332,0.5682969158550849,0.4317030841449151,0.278937793095126,0.020584140149147317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039285896636202494,0.24406255720426207,72.0,1.084,1.0,0.998,1.0,0.9232898603174828,0.0,OPEN,1df092392ed1e7f66fa73f8a
165,2026-07-11T19:32:34+00:00,,soccer_england_league1,League One,Notts County vs Leicester City,Notts County,1xBet,2026-08-15T11:30:00Z,3.44,0.28665897105622534,0.26235604064610984,0.45098498829766487,0.28665897105622534,0.05718119090212115,11.0,1.431,1.2735849056603774,2.7045849056603775,0.15741509433962264,0.0,0.0,0.4000033586052737,0.26818892303058517,0.33180771836414114,0.4000033586052737,60.0,0.0,0.0,0.36203522504892366,0.2759295499021527,0.36203522504892366,0.36203522504892366,0.0,0.0,0.0,0.39795683151970035,0.27650671157340223,0.3255364569068974,0.39795683151970035,-0.08,0.019507491210034922,0.5074977503425347,0.49250224965746525,0.5577553463573915,0.44224465364260845,0.33378634483897157,0.01743600760338012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04712737378274623,0.14822502624606226,60.0,1.06,1.0,0.998,1.0,0.9191013817387991,0.0,OPEN,91b999d39069c47bff7f5170
176,2026-07-11T19:32:35+00:00,,soccer_england_league1,League One,Barnsley vs Bromley FC,Bromley FC,Betsson,2026-08-15T14:00:00Z,4.15,0.507353083211991,0.24446062898027676,0.24818628780773233,0.24818628780773233,0.05708107153890274,11.0,1.431,1.2735849056603774,2.7045849056603775,0.15741509433962264,0.0,0.0,0.4000033586052737,0.26818892303058517,0.33180771836414114,0.33180771836414114,60.0,0.0,0.0,0.36203522504892366,0.2759295499021527,0.36203522504892366,0.36203522504892366,0.0,0.0,0.0,0.39795683151970035,0.27650671157340223,0.3255364569068974,0.3255364569068974,-0.08,0.019507491210034922,0.5074977503425347,0.49250224965746525,0.5577553463573915,0.44224465364260845,0.28712537333186683,0.015934556984146378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0389390855241345,0.19157029932724745,60.0,1.06,1.0,1.0,1.0,0.9236557932781095,0.0,OPEN,703141b85615b7beaeec85de
187,2026-07-11T19:32:36+00:00,,soccer_england_league1,League One,Bradford City vs Peterborough United,Peterborough United,Marathon Bet,2026-08-15T14:00:00Z,4.25,0.49925345439579566,0.2603352005258918,0.2404113450783126,0.2404113450783126,0.04054446791621302,11.0,1.431,1.2735849056603774,2.7045849056603775,0.15741509433962264,0.0,0.0,0.4000033586052737,0.26818892303058517,0.33180771836414114,0.33180771836414114,60.0,0.0,0.0,0.36203522504892366,0.2759295499021527,0.36203522504892366,0.36203522504892366,0.0,0.0,0.0,0.39795683151970035,0.27650671157340223,0.3255364569068974,0.3255364569068974,-0.08,0.019507491210034922,0.5074977503425347,0.49250224965746525,0.5577553463573915,0.44224465364260845,0.282849154830686,0.015934556984146378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04243780975237341,0.20210890803041548,60.0,1.06,1.0,1.0005,1.0,0.9319240950894544,0.0,OPEN,53671f4cc5a9191dec53d348
198,2026-07-11T19:32:41+00:00,,soccer_england_league2,League Two,Grimsby Town vs Exeter City,Exeter City,Nordic Bet,2026-08-15T14:00:00Z,4.25,0.4961274392537238,0.2625003474364757,0.24137221330980044,0.24137221330980044,0.05571480781847882,11.0,1.431,1.2735849056603774,2.7045849056603775,0.15741509433962264,0.0,0.0,0.4000033586052737,0.26818892303058517,0.33180771836414114,0.33180771836414114,60.0,0.0,0.0,0.36203522504892366,0.2759295499021527,0.36203522504892366,0.36203522504892366,0.0,0.0,0.0,0.39795683151970035,0.27650671157340223,0.3255364569068974,0.3255364569068974,-0.08,0.019507491210034922,0.5074977503425347,0.49250224965746525,0.5577553463573915,0.44224465364260845,0.28337763235800434,0.015934556984146378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0420054190482039,0.20435493752151834,60.0,1.06,1.0,1.0,1.0,0.9243389251383215,0.0,OPEN,f0cdf6a7903681e691a6a067
209,2026-07-11T19:32:44+00:00,,soccer_spl,Scottish Premiership,Aberdeen vs Hearts,Aberdeen,Tipico,2026-08-01T16:30:00Z,4.2,0.2447257885764222,0.25542798406946715,0.4998462273541106,0.2447257885764222,0.016717050357853314,13.0,1.4364000000000001,1.268796992481203,2.705196992481203,0.1676030075187971,0.0,0.0,0.4013468634058377,0.2677974389533476,0.3308556976408148,0.4013468634058377,62.0,0.0,0.0,0.36203522504892366,0.2759295499021527,0.36203522504892366,0.36203522504892366,0.0,0.0,0.0,0.40037581523968346,0.2763375197162663,0.3232866650440501,0.40037581523968346,-0.08,0.01949555475956999,0.5076474948055681,0.49235250519443186,0.5576529410285183,0.44234705897148174,0.31144873896015224,0.018307098504925998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06672295038373005,0.3080847036326395,62.0,1.064,1.0,1.01,1.0,0.9367201793062954,0.0,OPEN,7f5d147b491dad25a101bf55
222,2026-07-11T19:32:46+00:00,,soccer_austria_bundesliga,Austrian Bundesliga,WSG Tirol vs Sturm Graz,WSG Tirol,Pinnacle,2026-08-01T15:00:00Z,3.56,0.28374650977423216,0.2684326087108629,0.447820881514905,0.28374650977423216,0.02074043019953642,14.0,1.4418000000000002,1.2640449438202248,2.705844943820225,0.17775505617977538,0.0,0.0,0.40268851535954364,0.267408954739361,0.3299025299010953,0.40268851535954364,64.0,0.0,0.0,0.36203522504892366,0.2759295499021527,0.36203522504892366,0.36203522504892366,0.0,0.0,0.0,0.4027897785255205,0.27615852707807437,0.321051694396405,0.4027897785255205,-0.08,0.01948292686603237,0.507805987310504,0.49219401268949603,0.5575445715759576,0.4424554284240424,0.3336344003720113,0.01918805732852577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04988789059777915,0.18773846532436034,64.0,1.068,1.0,1.0078,1.0,0.9320656129146545,0.0,OPEN,c1fee4eb3db22c9cbc1f7ef9
236,2026-07-11T19:32:48+00:00,,soccer_austria_bundesliga,Austrian Bundesliga,Rapid Wien vs Rheindorf Altach,Rheindorf Altach,Tipico,2026-08-02T17:00:00Z,4.4,0.5014469109681785,0.2702151675235121,0.22833792150830945,0.22833792150830945,0.0346697145536603,14.0,1.4418000000000002,1.2640449438202248,2.705844943820225,0.17775505617977538,0.0,0.0,0.40268851535954364,0.267408954739361,0.3299025299010953,0.3299025299010953,64.0,0.0,0.0,0.36203522504892366,0.2759295499021527,0.36203522504892366,0.36203522504892366,0.0,0.0,0.0,0.4027897785255205,0.27615852707807437,0.321051694396405,0.321051694396405,-0.08,0.01948292686603237,0.507805987310504,0.49219401268949603,0.5575445715759576,0.4424554284240424,0.27494249985981234,0.017608385538147232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04660457835150289,0.20974699938317443,64.0,1.068,1.0,1.01,1.0,0.9298399861087282,0.0,OPEN,061d04d6b15bfdc576b8b7f9
250,2026-07-11T19:32:54+00:00,,soccer_denmark_superliga,Danish Superliga,AC Horsens vs FC Nordsjaelland,AC Horsens,Tipico,2026-07-26T16:00:00Z,3.8,0.25965071674753026,0.2608577977170069,0.4794914855354629,0.25965071674753026,0.03487506645401384,19.0,1.4418000000000002,1.2640449438202248,2.705844943820225,0.17775505617977538,0.0,0.0,0.40268851535954364,0.267408954739361,0.3299025299010953,0.40268851535954364,64.0,0.0,0.0,0.36203522504892366,0.2759295499021527,0.36203522504892366,0.36203522504892366,0.0,0.0,0.0,0.4027897785255205,0.27615852707807437,0.321051694396405,0.4027897785255205,-0.08,0.01948292686603237,0.507805987310504,0.49219401268949603,0.5575445715759576,0.4424554284240424,0.32038171420732525,0.01918805732852577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06073099745979499,0.217450513987836,64.0,1.068,1.0,1.01,1.0,0.9249982947874158,0.0,OPEN,2e5f445a2b656ef5e95575c8
269,2026-07-11T19:32:56+00:00,2026-07-12T17:03:59Z,soccer_norway_eliteserien,Eliteserien,Sandefjord vs HamKam,HamKam,1xBet,2026-07-12T15:00:00Z,4.01,0.4954122253701506,0.25479080493492257,0.24979696969492682,0.24979696969492682,0.021264428936957458,23.0,1.4553000000000003,1.2523191094619666,2.707619109461967,0.2029808905380337,0.0,0.0,0.406033984394501,0.2664507181848216,0.32751529742067753,0.32751529742067753,69.0,0.0,0.0,0.36203522504892366,0.2759295499021527,0.36203522504892366,0.36203522504892366,0.0,0.0,0.0,0.4088023595640306,0.27566901776238095,0.3155286226735885,0.3155286226735885,-0.08,0.0194483920852353,0.508239820823476,0.49176017917652404,0.5572480338843628,0.44275196611563716,0.28518000883996175,0.019715109376227107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035383039145034934,0.14357183544824648,69.0,1.078,1.0,0.998,1.0,0.9302224574028399,0.0,LOST,df504c0452d29331533aa5d1
292,2026-07-11T19:32:58+00:00,2026-07-12T19:35:24Z,soccer_norway_eliteserien,Eliteserien,Sarpsborg FK vs Viking FK,Sarpsborg FK,Coolbet,2026-07-12T17:15:00Z,4.3,0.236726238717719,0.23475760558230963,0.5285161556999715,0.236726238717719,0.017101465061815757,23.0,1.4553000000000003,1.2523191094619666,2.707619109461967,0.2029808905380337,0.0,0.0,0.406033984394501,0.2664507181848216,0.32751529742067753,0.406033984394501,69.0,0.0,0.0,0.36203522504892366,0.2759295499021527,0.36203522504892366,0.36203522504892366,0.0,0.0,0.0,0.4088023595640306,0.27566901776238095,0.3155286226735885,0.4088023595640306,-0.08,0.0194483920852353,0.508239820823476,0.49176017917652404,0.5572480338843628,0.44275196611563716,0.3095777203443131,0.021423558153955986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07285148162659408,0.3311841974805463,69.0,1.078,1.0,0.9753,1.0,0.9271785930072242,0.0,WON,6ab37b23cff9771f030c2767
315,2026-07-11T19:32:59+00:00,2026-07-12T14:02:56Z,soccer_sweden_allsvenskan,Allsvenskan,Västerås SK vs Degerfors IF,Degerfors IF,Unibet (SE),2026-07-12T12:00:00Z,3.9,0.46407284145956074,0.2773782125687186,0.2585489459717207,0.2585489459717207,0.014957264957264904,21.0,1.4526,1.254646840148699,2.7072468401486987,0.1979531598513009,0.0,0.0,0.40536592236190494,0.2666408941279083,0.3279931835101868,0.3279931835101868,68.0,0.0,0.0,0.36203522504892366,0.2759295499021527,0.36203522504892366,0.36203522504892366,0.0,0.0,0.0,0.4076024220844181,0.2757716584420645,0.3166259194735173,0.3166259194735173,-0.08,0.019455633363920033,0.5081488071633297,0.49185119283667034,0.557310232630726,0.442689767369274,0.29030500219426614,0.0192932927799766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03175605622254546,0.1321895085576379,68.0,1.076,1.0,0.9987,1.0,0.9346414891814377,0.0,LOST,0e08f2d74df2729a0bf3b8b0
