sport,league,match,pick,odds,model_probability,bookmaker,reason,edge,implied_probability,confidence,risk,stake_units,stake_amount,created_at
baseball,baseball_kbo,Lotte Giants vs LG Twins,Lotte Giants,3.11,0.376040083806191,Pinnacle,"Edge 17.9% | Score 17.881466063725384 | Consensus: elo, xg, form, market",0.05449667544606235,0.3215434083601286,72,medium,0.25,20.08,2026-06-27T08:42:38
baseball,baseball_npb,Orix Buffaloes vs Saitama Seibu Lions,Orix Buffaloes,2.08,0.5510296251931007,William Hill,"Edge 15.2% | Score 15.238162040164948 | Consensus: elo, xg, form, market",0.07026039442387,0.4807692307692307,82,medium,0.34,30.0,2026-07-03T09:56:58
baseball,baseball_npb,Fukuoka SoftBank Hawks vs Chiba Lotte Marines,Chiba Lotte Marines,3.3,0.3533404605521193,MyBookie.ag,"Edge 15.6% | Score 15.612351982199367 | Consensus: elo, xg, form, market",0.05031015752181628,0.30303030303030304,70,medium,0.25,18.05,2026-07-03T09:56:58
baseball,baseball_kbo,SSG Landers vs Samsung Lions,SSG Landers,3.65,0.31657397534939247,Unibet (SE),"Edge 16.6% | Score 16.644501002528234 | Consensus: elo, xg, form, market",0.042601372609666455,0.273972602739726,67,medium,0.25,14.67,2026-07-03T09:56:58
football,baseball_kbo,Lotte Giants vs LG Twins,Lotte Giants,3.11,0.3639297114848439,Pinnacle,"Edge 17.9% | Score 17.881466063725384 | Consensus: elo, xg, form, market | Football consensus signals: ELO 37.6%, xG 37.6%, Form 37.6%, Market 32.2% | Consensus: elo, xg, form, market",0.04238630312471525,0.3215434083601286,67,medium,0.25,15.62,2026-07-03T09:56:58
baseball,baseball_kbo,Kia Tigers vs NC Dinos,NC Dinos,1.85,0.6264307111156933,Coolbet,"Edge 15.3% | Score 15.334681556403229 | Consensus: elo, xg, form, market",0.0858901705751528,0.5405405405405405,94,low,0.47,30.0,2026-07-03T10:04:55
baseball,baseball_npb,Tokyo Yakult Swallows vs Yokohama DeNA BayStars,Yokohama DeNA BayStars,2.95,0.4019589871311348,Nordic Bet,"Edge 17.7% | Score 17.692901203684762 | Consensus: elo, xg, form, market",0.0629759362836772,0.3389830508474576,75,medium,0.25,23.82,2026-07-03T10:04:55
baseball,baseball_npb,Fukuoka SoftBank Hawks vs Chiba Lotte Marines,Chiba Lotte Marines,3.1,0.3801559981035169,MyBookie.ag,"Edge 16.9% | Score 16.918359412090233 | Consensus: elo, xg, form, market",0.0575753529422266,0.3225806451612903,73,medium,0.25,21.25,2026-07-03T10:04:55
tennis,tennis_atp_wimbledon,Roman Safiullin vs Joao Fonseca,Joao Fonseca,2.38,0.46284613532515423,Betfair,"Edge 10.2% | Score 10.157380207386701 | Consensus: elo, xg, form, market",0.042678068098263466,0.42016806722689076,67,medium,0.25,18.4,2026-07-03T10:45:08
tennis,tennis_atp_wimbledon,Roman Safiullin vs Joao Fonseca,Roman Safiullin,1.81,0.649648885002461,Betfair,"Raw edge 17.6% | Score 17.586448185445413 | Consensus: elo, xg, form, market",0.17586448185445414,0.09716269715715709,0.5524861878453039,100,low,0.54,30.0,2026-07-03T11:28:19
baseball,baseball_kbo,Kiwoom Heroes vs Doosan Bears,Kiwoom Heroes,2.28,0.5098652055311023,Pinnacle,"Raw edge 16.9% | Score 16.93326686109129 | Consensus: elo, xg, form, market",0.1693326686109129,0.07126871430303205,0.4385964912280702,79,medium,0.32,30.0,2026-07-03T11:28:19
baseball,baseball_kbo,Kia Tigers vs NC Dinos,NC Dinos,1.41,0.8191604724776049,Pinnacle,"Raw edge 15.1% | Score 15.078626619342273 | Consensus: elo, xg, form, market",0.15078626619342272,0.10994061432157654,0.7092198581560284,100,low,0.95,30.0,2026-07-03T11:57:27
baseball,baseball_npb,Tokyo Yakult Swallows vs Yokohama DeNA BayStars,Yokohama DeNA BayStars,2.45,0.460711345653873,MyBookie.ag,"Raw edge 12.1% | Score 12.139279685198856 | Consensus: elo, xg, form, market",0.12139279685198856,0.0525480803477506,0.4081632653061224,71,medium,0.25,22.2,2026-07-03T12:01:58
tennis,tennis_wta_wimbledon,Belinda Bencic vs Anna Kalinskaya,Anna Kalinskaya,3.88,0.2994547019827802,Pinnacle,"Raw edge 16.2% | Score 16.18842436931871 | Consensus: elo, xg, form, market",0.1618842436931871,0.041722743219893554,0.2577319587628866,67,medium,0.25,14.05,2026-07-03T12:01:58
tennis,tennis_atp_wimbledon,Roman Safiullin vs Joao Fonseca,Roman Safiullin,1.26,0.8442849978380583,Pinnacle,"Raw edge 6.4% | Score 6.379909727595323 | Consensus: elo, xg, form, market",0.06379909727595323,0.05063420418726472,0.7936507936507936,98,medium,0.61,30.0,2026-07-03T12:05:49
tennis,tennis_wta_wimbledon,Belinda Bencic vs Anna Kalinskaya,Belinda Bencic,1.52,0.7168109359537014,Pinnacle,"Raw edge 9.0% | Score 8.955262264962617 | Consensus: elo, xg, form, market",0.08955262264962616,0.05891619911159607,0.6578947368421053,91,medium,0.43,30.0,2026-07-03T12:05:49
baseball,baseball_npb,Tokyo Yakult Swallows vs Yokohama DeNA BayStars,Yokohama DeNA BayStars,2.45,0.456313255025709,MyBookie.ag,"Raw edge 11.1% | Score 11.061747481298712 | Consensus: elo, xg, form, market",0.11061747481298712,0.04814998971958662,0.4081632653061224,69,medium,0.25,20.34,2026-07-03T12:05:49
tennis,tennis_wta_wimbledon,Belinda Bencic vs Anna Kalinskaya,Belinda Bencic,1.34,0.8150122499793028,Pinnacle,"Raw edge 9.2% | Score 9.211641497226575 | Consensus: elo, xg, form, market",0.09211641497226575,0.06874359326288493,0.7462686567164178,100,medium,0.68,30.0,2026-07-03T12:22:18
baseball,baseball_npb,Orix Buffaloes vs Saitama Seibu Lions,Orix Buffaloes,1.79,0.6311608089342644,Betclic (FR),"Raw edge 13.5% | Score 13.514784799233336 | Consensus: elo, xg, form, market",0.13514784799233337,0.07250159105716947,0.5586592178770949,89,medium,0.41,30.0,2026-07-03T12:22:18
tennis,tennis_atp_wimbledon,Jan-Lennard Struff vs Daniil Medvedev,Jan-Lennard Struff,1.44,0.773651530699629,Pinnacle,"Raw edge 11.4% | Score 11.405820420746583 | Consensus: elo, xg, form, market",0.11405820420746582,0.07920708625518458,0.6944444444444444,100,medium,0.65,30.0,2026-07-03T16:15:15
basketball,basketball_wnba,Seattle Storm vs Portland Fire,Seattle Storm,1.8,0.6003618419924127,888sport,"Raw edge 9.1% | Score 9.14513155863428 | Consensus: elo, xg, form, market",0.09145131558634279,0.044806286436857135,0.5555555555555556,76,medium,0.25,25.2,2026-07-03T16:15:15
tennis,tennis_wta_wimbledon,Nikola Bartunkova vs Barbora Krejcikova,Barbora Krejcikova,1.6,0.6984021273919735,Coolbet,"Raw edge 11.7% | Score 11.744340382715768 | Consensus: elo, xg, form, market",0.11744340382715768,0.07340212739197349,0.625,95,medium,0.49,30.0,2026-07-03T16:25:42
tennis,tennis_atp_wimbledon,Hubert Hurkacz vs Tommy Paul,Tommy Paul,3.06,0.3785492555005393,Nordic Bet,"Raw edge 15.8% | Score 15.836072183165006 | Consensus: elo, xg, form, market",0.15836072183165006,0.05175186987962427,0.32679738562091504,71,medium,0.25,19.22,2026-07-03T16:25:42
tennis,tennis_wta_wimbledon,Nikola Bartunkova vs Barbora Krejcikova,Barbora Krejcikova,1.41,0.7869459357468231,Pinnacle,"Raw edge 11.0% | Score 10.959376940302047 | Consensus: elo, xg, form, market",0.10959376940302046,0.07772607759079475,0.7092198581560284,100,medium,0.67,30.0,2026-07-03T16:47:12
basketball,basketball_wnba,Atlanta Dream vs Golden State Valkyries,Golden State Valkyries,2.5,0.4556964055105673,888sport,"Raw edge 12.8% | Score 12.761451862701655 | Consensus: elo, xg, form, market",0.12761451862701656,0.05569640551056726,0.4,72,medium,0.25,23.21,2026-07-03T17:13:32
tennis,tennis_atp_wimbledon,Zizou Bergs vs Arthur Fery,Zizou Bergs,1.71,0.6542315908292411,Matchbook,"Raw edge 11.9% | Score 11.873602031800212 | Consensus: elo, xg, form, market",0.11873602031800212,0.06943626919181423,0.5847953216374269,90,medium,0.42,30.0,2026-07-04T17:11:20
basketball,basketball_wnba,Atlanta Dream vs Golden State Valkyries,Golden State Valkyries,2.6,0.4580403584298211,BetAnything,"Raw edge 17.9% | Score 17.881337696215716 | Consensus: elo, xg, form, market",0.17881337696215716,0.07342497381443652,0.3846153846153846,79,medium,0.3,29.83,2026-07-04T17:11:20
baseball,baseball_kbo,KT Wiz vs Lotte Giants,KT Wiz,1.75,0.6346546748875463,Pinnacle,"Raw edge 11.6% | Score 11.589568105320591 | Consensus: elo, xg, form, market",0.11589568105320591,0.06322610345897495,0.5714285714285714,86,medium,0.37,30.0,2026-07-05T11:32:26
tennis,tennis_wta_wimbledon,Aryna Sabalenka vs Naomi Osaka,Naomi Osaka,2.58,0.43597113418807204,Betfair,"Raw edge 12.5% | Score 12.48055262052259 | Consensus: elo, xg, form, market",0.12480552620522589,0.04837423496326587,0.38759689922480617,69,medium,0.25,19.75,2026-07-05T16:48:19
tennis,tennis_atp_wimbledon,Felix Auger-Aliassime vs Alejandro Davidovich Fokina,Felix Auger-Aliassime,2.6,0.42522355220408287,Pinnacle,"Raw edge 10.6% | Score 10.558123573061518 | Consensus: elo, xg, form, market",0.10558123573061517,0.040608167588698285,0.3846153846153846,66,medium,0.25,16.5,2026-07-05T16:48:19
tennis,tennis_wta_wimbledon,Aryna Sabalenka vs Naomi Osaka,Aryna Sabalenka,3.5,0.32841958072476934,Betfair,"Raw edge 14.9% | Score 14.946853253669246 | Consensus: elo, xg, form, market",0.14946853253669246,0.042705295010483646,0.2857142857142857,67,medium,0.25,14.95,2026-07-05T17:16:50
baseball,baseball_mlb,Washington Nationals vs Pittsburgh Pirates,Pittsburgh Pirates,1.79,0.6611215486591611,Pinnacle,"Raw edge 17.5% | Score 17.508300157292677 | Consensus: elo, xg, form, market",0.17508300157292678,0.10246233078206612,0.5586592178770949,100,low,0.58,30.0,2026-07-05T17:33:09
tennis,tennis_atp_wimbledon,Felix Auger-Aliassime vs Alejandro Davidovich Fokina,Felix Auger-Aliassime,1.22,0.8982937731051828,MyBookie.ag,"Raw edge 9.6% | Score 9.59184031883229 | Consensus: elo, xg, form, market",0.0959184031883229,0.07862164195764176,0.819672131147541,100,medium,1.09,30.0,2026-07-05T17:55:29
baseball,baseball_mlb,New York Yankees vs Minnesota Twins,Minnesota Twins,2.19,0.5343162023683354,Pinnacle,"Raw edge 16.4% | Score 16.35824831866546 | Consensus: elo, xg, form, market",0.16358248318665458,0.07769519780212536,0.4566210045662101,84,medium,0.36,30.0,2026-07-05T17:55:29
tennis,tennis_wta_wimbledon,Aryna Sabalenka vs Naomi Osaka,Aryna Sabalenka,3.45,0.3393109697013263,Coolbet,"Raw edge 17.1% | Score 17.062284546957574 | Consensus: elo, xg, form, market",0.17062284546957573,0.049455897237558166,0.2898550724637681,70,medium,0.25,17.41,2026-07-05T17:55:29
tennis,tennis_wta_wimbledon,Aryna Sabalenka vs Naomi Osaka,Naomi Osaka,1.25,0.8903798069212033,MyBookie.ag,"Raw edge 11.3% | Score 11.297475865150396 | Consensus: elo, xg, form, market",0.11297475865150397,0.09037980692120329,0.8,100,low,1.13,30.0,2026-07-05T18:05:03
baseball,baseball_mlb,New York Yankees vs Minnesota Twins,Minnesota Twins,2.1,0.5346136965371561,William Hill,"Raw edge 10.1% | Score 10.050733812998903 | Consensus: elo, xg, form, market",0.10050733812998902,0.058423220346679905,0.47619047619047616,76,medium,0.28,27.88,2026-07-05T18:05:03
baseball,baseball_mlb,Washington Nationals vs Pittsburgh Pirates,Washington Nationals,1.81,0.6125814387280551,Betfair,"Raw edge 13.8% | Score 12.828718714883303 | Consensus: elo, xg, form, market",0.13772108121184434,0.06009525088275125,0.5524861878453039,83,medium,0.34,30.0,2026-07-05T19:15:07
tennis,tennis_wta_wimbledon,Ashlyn Krueger vs Marta Kostyuk,Marta Kostyuk,1.36,0.7984299245919717,William Hill,"Raw edge 8.6% | Score 0.07727822770057327 | Consensus: elo, xg, form, market",0.0858646974450814,0.06313580694491294,0.7352941176470588,99,medium,0.6,30.0,2026-07-06T10:46:13
tennis,tennis_atp_wimbledon,Grigor Dimitrov vs Arthur Fery,Arthur Fery,4.3,0.2730039557502391,Betfair,"Raw edge 17.4% | Score 0.1913087106986309 | Consensus: elo, xg, form, market",0.17391700972602808,0.040445816215355396,0.23255813953488372,66,medium,0.25,13.18,2026-07-06T18:14:13
baseball,baseball_kbo,Hanwha Eagles vs NC Dinos,NC Dinos,2.04,0.5479939858272076,Pinnacle,"Raw edge 11.2% | Score 12.073074957450377 | Consensus: elo, xg, form, market",0.1117877310875035,0.05779790739583507,0.49019607843137253,77,medium,0.28,28.34,2026-07-07T09:50:42
baseball,baseball_kbo,Samsung Lions vs LG Twins,Samsung Lions,2.01,0.5376049413068942,Pinnacle,"Raw edge 8.7% | Score 9.354520658900546 | Consensus: elo, xg, form, market",0.08661593202685691,0.04009250349594884,0.49751243781094534,69,medium,0.25,19.95,2026-07-07T09:50:42
tennis,tennis_atp_wimbledon,Felix Auger-Aliassime vs Novak Djokovic,Novak Djokovic,1.8,0.6136803251462993,MyBookie.ag,"Raw edge 10.5% | Score 0.12031827305283953 | Consensus: elo, xg, form, market",0.10462458526333873,0.05812476959074375,0.5555555555555556,82,medium,0.33,30.0,2026-07-07T18:04:13
baseball,baseball_npb,Yokohama DeNA BayStars vs Chunichi Dragons,Yokohama DeNA BayStars,1.95,0.5915521934629494,Tipico,"Raw edge 15.9% | Score 19.125213270330146 | Consensus: elo, xg, form, market",0.15937677725275123,0.07873168064243652,0.5128205128205129,89,medium,0.4,30.0,2026-07-09T09:53:25
baseball,baseball_kbo,Hanwha Eagles vs NC Dinos,Hanwha Eagles,2.5,0.4632315225561502,Betclic (FR),"Raw edge 16.6% | Score 19.869456766845044 | Consensus: elo, xg, form, market",0.16557880639037537,0.06323152255615017,0.4,75,medium,0.26,26.35,2026-07-09T09:53:25
baseball,baseball_kbo,Samsung Lions vs LG Twins,Samsung Lions,2.02,0.5432254823301719,Unibet (SE),"Raw edge 10.3% | Score 13.64556260851704 | Consensus: elo, xg, form, market",0.10337547430694727,0.048175977379676826,0.49504950495049505,73,medium,0.25,23.85,2026-07-09T09:53:25
baseball,baseball_mlb,Minnesota Twins vs Cleveland Guardians,Cleveland Guardians,2.01,0.5694884636486601,Pinnacle,"Raw edge 14.8% | Score 18.437331733135142 | Consensus: elo, xg, form, market",0.14844872570962275,0.07197602583771479,0.49751243781094534,84,medium,0.36,30.0,2026-07-09T18:00:53
baseball,baseball_mlb,New York Mets vs Kansas City Royals,Kansas City Royals,2.2,0.5218074152272609,William Hill,"Raw edge 14.3% | Score 17.721137006091467 | Consensus: elo, xg, form, market",0.1426822625289168,0.0672619606818064,0.45454545454545453,79,medium,0.31,30.0,2026-07-09T18:00:53
baseball,baseball_mlb,Tampa Bay Rays vs New York Yankees,Tampa Bay Rays,4.4,0.2696966202729416,Unibet (NL),"Raw edge 17.8% | Score 28.31164488410165 | Consensus: elo, xg, form, market",0.17839725824890773,0.04242389300021435,0.22727272727272727,67,medium,0.25,13.73,2026-07-09T18:00:53
baseball,baseball_npb,Hokkaido Nippon-Ham Fighters vs Saitama Seibu Lions,Hokkaido Nippon-Ham Fighters,1.8,0.6032707082197771,Betsson,"Raw edge 9.1% | Score 10.95447297547186 | Consensus: elo, xg, form, market",0.09128727479559884,0.04771515266422155,0.5555555555555556,77,medium,0.27,26.84,2026-07-10T09:42:59
baseball,baseball_npb,Hanshin Tigers vs Tokyo Yakult Swallows,Hanshin Tigers,1.53,0.7216423828473789,William Hill,"Raw edge 10.9% | Score 11.314879214793 | Consensus: elo, xg, form, market",0.10870284575648959,0.06804761160554884,0.6535947712418301,95,medium,0.49,30.0,2026-07-11T09:34:35
baseball,baseball_npb,Yokohama DeNA BayStars vs Yomiuri Giants,Yomiuri Giants,3.05,0.3757629761584372,MyBookie.ag,"Raw edge 13.7% | Score 14.281244953360565 | Consensus: elo, xg, form, market",0.13692707728323317,0.047894123699420754,0.3278688524590164,69,medium,0.25,17.81,2026-07-11T09:34:35
baseball,baseball_npb,Yokohama DeNA BayStars vs Yomiuri Giants,Yokohama DeNA BayStars,2.07,0.5592477689983398,Pinnacle,"Raw edge 16.4% | Score 95.0 | Consensus: elo, xg, form, market",0.16385288182656343,0.07615598155872627,0.48309178743961356,85,medium,0.37,30.0,2026-07-11T10:56:03
baseball,baseball_npb,Yokohama DeNA BayStars vs Yomiuri Giants,Yokohama DeNA BayStars,2.95,0.38597963849823025,Unibet (SE),"Raw edge 14.7% | Score 92.0 | Consensus: elo, xg, form, market",0.14748993356977924,0.04699658765077264,0.3389830508474576,69,medium,0.25,17.77,2026-07-11T11:52:02
baseball,baseball_mlb,Washington Nationals vs New York Yankees,New York Yankees,1.56,0.6952107662887038,Matchbook,"Raw edge 17.8% | Score 98.0 | Consensus: elo, xg, form, market",0.17832171463558688,0.05418512526306285,0.641025641025641,87,medium,0.38,30.0,2026-07-11T14:20:32
baseball,baseball_mlb,Miami Marlins vs Cleveland Guardians,Miami Marlins,1.71,0.6252935696572053,Betfair,"Raw edge 14.8% | Score 95.0 | Consensus: elo, xg, form, market",0.1478692870276086,0.040498248019778416,0.5847953216374269,76,medium,0.25,24.38,2026-07-11T14:20:32
baseball,baseball_mlb,Washington Nationals vs New York Yankees,New York Yankees,1.56,0.6947200343574315,Matchbook,"Raw edge 17.7% | Score 97.0 | Consensus: elo, xg, form, market",0.17701332353325872,0.05369439333179049,0.641025641025641,87,medium,0.37,30.0,2026-07-11T14:28:57
baseball,baseball_mlb,San Francisco Giants vs Colorado Rockies,San Francisco Giants,1.7,0.6354386301456145,1xBet,"Raw edge 18.0% | Score 96.0 | Consensus: elo, xg, form, market",0.17982518039905893,0.047203336027967446,0.5882352941176471,80,medium,0.29,28.66,2026-07-11T14:28:57
baseball,baseball_mlb,Baltimore Orioles vs Kansas City Royals,Baltimore Orioles,1.67,0.6449832078270293,GTbets,"Raw edge 17.7% | Score 97.0 | Consensus: elo, xg, form, market",0.17700723902638038,0.04618081261744844,0.5988023952095809,80,medium,0.29,28.78,2026-07-11T14:28:57
baseball,baseball_mlb,Washington Nationals vs New York Yankees,New York Yankees,1.56,0.6942021503190658,1xBet,"Raw edge 17.6% | Score 97.0 | Consensus: elo, xg, form, market",0.17612639528316532,0.05317650929342488,0.641025641025641,87,medium,0.37,30.0,2026-07-11T15:29:55
baseball,baseball_mlb,San Francisco Giants vs Colorado Rockies,San Francisco Giants,1.69,0.6370538384835549,Everygame,"Raw edge 17.8% | Score 97.0 | Consensus: elo, xg, form, market",0.1780764717407095,0.04533786215219393,0.591715976331361,79,medium,0.28,27.76,2026-07-11T15:29:55
baseball,baseball_mlb,Washington Nationals vs New York Yankees,New York Yankees,1.55,0.6993661317335418,Betfair,"Raw edge 18.0% | Score 98.0 | Consensus: elo, xg, form, market",0.17966352531327878,0.05420484141096116,0.6451612903225806,88,medium,0.38,30.0,2026-07-11T16:31:25
baseball,baseball_mlb,Tampa Bay Rays vs Seattle Mariners,Tampa Bay Rays,1.91,0.5637783878624938,Pinnacle,"Raw edge 18.0% | Score 96.0 | Consensus: elo, xg, form, market",0.17972659426918436,0.040218178438410024,0.5235602094240838,71,medium,0.25,21.1,2026-07-11T16:31:25
football,2. Bundesliga,SV Darmstadt 98 vs Holstein Kiel,Draw,3.65,0.3157816282009009,Winamax (DE),"Raw edge 15.5% | Score 15.519124712153133 | Consensus: elo, xg, form, market",0.15519124712153132,0.041809025461174876,0.273972602739726,67,medium,0.25,14.4,2026-07-11T16:46:26
football,2. Bundesliga,1. FC Nürnberg vs Dynamo Dresden,Draw,3.7,0.311055774804456,Winamax (DE),"Raw edge 15.2% | Score 15.17187726394602 | Consensus: elo, xg, form, market",0.1517187726394602,0.04078550453418578,0.27027027027027023,66,medium,0.25,13.97,2026-07-11T16:46:26
football,2. Bundesliga,FC St. Pauli vs Greuther Fürth,Draw,4.0,0.2907082696248151,Tipico,"Raw edge 16.5% | Score 16.66656311752671 | Consensus: elo, xg, form, market",0.16501547641115555,0.04070826962481511,0.25,66,medium,0.25,13.57,2026-07-11T16:46:26
baseball,baseball_mlb,Washington Nationals vs New York Yankees,New York Yankees,1.53,0.7003098107718068,Everygame,"Raw edge 16.6% | Score 97.0 | Consensus: elo, xg, form, market",0.1660538623235277,0.04671503952997669,0.6535947712418301,85,medium,0.34,30.0,2026-07-11T17:03:52
baseball,baseball_mlb,San Francisco Giants vs Colorado Rockies,San Francisco Giants,1.7,0.6348792387074882,1xBet,"Raw edge 17.9% | Score 97.0 | Consensus: elo, xg, form, market",0.17862751402658894,0.04664394458984111,0.5882352941176471,79,medium,0.28,28.32,2026-07-11T17:03:52
football,2. Bundesliga,SV Darmstadt 98 vs Holstein Kiel,Draw,3.65,0.3158266282009008,Winamax (DE),"Raw edge 15.6% | Score 15.551974712153127 | Consensus: elo, xg, form, market",0.15551974712153127,0.04185402546117478,0.273972602739726,67,medium,0.25,14.41,2026-07-11T17:03:52
football,2. Bundesliga,1. FC Nürnberg vs Dynamo Dresden,Draw,3.7,0.311430774804456,Tipico,"Raw edge 15.4% | Score 15.603871036585456 | Consensus: elo, xg, form, market",0.15449377263945996,0.04116050453418579,0.27027027027027023,66,medium,0.25,14.1,2026-07-11T17:03:52
baseball,baseball_mlb,Pittsburgh Pirates vs Milwaukee Brewers,Pittsburgh Pirates,1.28,0.8447724307391841,Pinnacle,"Raw edge 14.0% | Score 97.0 | Consensus: elo, xg, form, market",0.14047186392190336,0.06352243073918407,0.78125,100,medium,0.73,30.0,2026-07-11T18:54:35
